aspect_code,spending_implication
MOO CON VEN,Emotional comfort spending. Supportive: balanced tastes; Hard: mood-driven purchases.
MOO TRI VEN,Emotional comfort spending. Supportive: balanced tastes; Hard: mood-driven purchases.
MOO SEX VEN,Emotional comfort spending. Supportive: balanced tastes; Hard: mood-driven purchases.
MOO SQR VEN,Emotional comfort spending. Supportive: balanced tastes; Hard: mood-driven purchases.
MOO OPP VEN,Emotional comfort spending. Supportive: balanced tastes; Hard: mood-driven purchases.
MOO CON JUP,Optimistic emotional spending. Supportive: generosity; Hard: emotional overindulgence.
MOO TRI JUP,Optimistic emotional spending. Supportive: generosity; Hard: emotional overindulgence.
MOO SEX JUP,Optimistic emotional spending. Supportive: generosity; Hard: emotional overindulgence.
MOO SQR JUP,Optimistic emotional spending. Supportive: generosity; Hard: emotional overindulgence.
MOO OPP JUP,Optimistic emotional spending. Supportive: generosity; Hard: emotional overindulgence.
MOO CON SAT,Emotional restraint. Supportive: cautious budgeting; Hard: fear-based withholding or compensatory spending.
MOO TRI SAT,Emotional restraint. Supportive: cautious budgeting; Hard: fear-based withholding or compensatory spending.
MOO SEX SAT,Emotional restraint. Supportive: cautious budgeting; Hard: fear-based withholding or compensatory spending.
MOO SQR SAT,Emotional restraint. Supportive: cautious budgeting; Hard: fear-based withholding or compensatory spending.
MOO OPP SAT,Emotional restraint. Supportive: cautious budgeting; Hard: fear-based withholding or compensatory spending.
MOO CON NEP,Idealized emotional buying. Supportive: artistic purchases; Hard: illusion/confusion in spending.
MOO TRI NEP,Idealized emotional buying. Supportive: artistic purchases; Hard: illusion/confusion in spending.
MOO SEX NEP,Idealized emotional buying. Supportive: artistic purchases; Hard: illusion/confusion in spending.
MOO SQR NEP,Idealized emotional buying. Supportive: artistic purchases; Hard: illusion/confusion in spending.
MOO OPP NEP,Idealized emotional buying. Supportive: artistic purchases; Hard: illusion/confusion in spending.
MOO CON URA,Emotional unpredictability. Supportive: refreshing change; Hard: sudden impulse buys.
MOO TRI URA,Emotional unpredictability. Supportive: refreshing change; Hard: sudden impulse buys.
MOO SEX URA,Emotional unpredictability. Supportive: refreshing change; Hard: sudden impulse buys.
MOO SQR URA,Emotional unpredictability. Supportive: refreshing change; Hard: sudden impulse buys.
MOO OPP URA,Emotional unpredictability. Supportive: refreshing change; Hard: sudden impulse buys.
MOO CON PLU,Intense emotional spending. Supportive: strategic transformation; Hard: compulsive purchases.
MOO TRI PLU,Intense emotional spending. Supportive: strategic transformation; Hard: compulsive purchases.
MOO SEX PLU,Intense emotional spending. Supportive: strategic transformation; Hard: compulsive purchases.
MOO SQR PLU,Intense emotional spending. Supportive: strategic transformation; Hard: compulsive purchases.
MOO OPP PLU,Intense emotional spending. Supportive: strategic transformation; Hard: compulsive purchases.
MOO CON MER,Emotion–logic interaction. Supportive: thoughtful decisions; Hard: anxious or reactive buying.
