qualified_name,type,category,file_path,line_start,line_end,description,inputs,outputs,raises,dependencies,side_effects,idempotency,async,stability,tests,notes
api_router:_require_api_headers,function,API,api_router.py,44,65,Implements `_require_api_headers`.,"x_correlation_id:Annotated[Optional[str], Header(alias='X-Correlation-ID')]=None (optional); x_transaction_id:Annotated[Optional[str], Header(alias='X-Transaction-ID')]=None (optional); x_session_id:Annotated[Optional[str], Header(alias='X-Session-ID')]=None (optional); x_app_id:Annotated[Optional[str], Header(alias='X-App-ID')]=None (optional); authorization:Annotated[Optional[str], Header(alias='Authorization')]=None (optional)",return: None,"HTTPException(status_code=400, detail=f""Missing required headers: {', '.join(missing)}""); HTTPException(status_code=401, detail='Missing Authorization header')","', '.join; HTTPException; Header; missing.append; str; str(authorization).strip",none,unknown,false,stable,not found,
api_router:_ensure_dict_from_ai_summary,function,API,api_router.py,75,90,Coerce the AI summary output into a dictionary for Pydantic.,summary:Any (required),"return: Dict[str, Any]",none,isinstance; json.loads; str; summary.strip,none,unknown,false,stable,not found,
api_router:build_natal_chart,function,API,api_router.py,96,116,Implements `build_natal_chart`.,"payload:BirthPayload=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'name': 'Amit', 'dateOfBirth': '1951-08-04', 'timeOfBirth': '16:00:00', 'placeOfBirth': 'Dewas, India', 'timeZone': 'Asia/Kolkata', 'latitude': 22.72, 'longitude': 75.8}}}) (optional)",return: NatalChartOut,none,Body; NatalChartOut; calculate_natal_chart_data; router.post,none,unknown,false,stable,not found,
api_router:dignities_table,function,API,api_router.py,120,154,Implements `dignities_table`.,"payload:BirthPayload=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'name': 'Amit', 'dateOfBirth': '1951-08-04', 'timeOfBirth': '16:00:00', 'placeOfBirth': 'Dewas, India', 'timeZone': 'Asia/Kolkata', 'latitude': 22.72, 'longitude': 75.8}}}) (optional)",return: DignitiesOut,none,Body; DignitiesData; DignitiesOut; DignityRow; router.post; table.append,none,unknown,false,stable,not found,
api_router:natal_aspects,function,API,api_router.py,157,178,Implements `natal_aspects`.,"payload:BirthPayload=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'name': 'Amit', 'dateOfBirth': '1951-08-04', 'timeOfBirth': '16:00:00', 'placeOfBirth': 'Dewas, India', 'timeZone': 'Asia/Kolkata', 'latitude': 22.72, 'longitude': 75.8, 'lang_code': 'en'}}}) (optional)",return: NatalAspectsOut,none,Body; NatalAspectsOut; compute_natal_natal_aspects; router.post,none,unknown,false,stable,not found,
api_router:natal_characteristics,function,API,api_router.py,182,205,Implements `natal_characteristics`.,"payload:BirthPayload=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'name': 'Amit', 'dateOfBirth': '1951-08-04', 'timeOfBirth': '16:00:00', 'placeOfBirth': 'Dewas, India', 'timeZone': 'Asia/Kolkata', 'latitude': 22.72, 'longitude': 75.8, 'lang_code': 'en'}}}) (optional)",return: NatalCharacteristicsOut,none,Body; NatalCharacteristicsData; NatalCharacteristicsOut; _ensure_dict_from_ai_summary; compute_natal_ai_summary; compute_natal_natal_aspects; router.post,none,unknown,false,stable,not found,
api_router:life_events,function,API,api_router.py,210,249,Implements `life_events`.,"payload:LifeEventPayload=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'name': 'Amit', 'dateOfBirth': '1991-07-14', 'timeOfBirth': '22:35:00', 'placeOfBirth': 'Mumbai, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 19.076, 'longitude': 72.8777, 'start_date': '2025-11-01', 'horizon_days': 90, 'lang_code': 'en'}}}) (optional)",return: LifeEventsOut; side_effects: logging,"HTTPException(status_code=400, detail='start_date must be in YYYY-MM-DD format')",Body; HTTPException; LifeEventsOut; compute_life_events; dt.date.fromisoformat; router.post,logging,idempotent,false,stable,found,
api_router:report_timeline,function,API,api_router.py,253,288,Implements `report_timeline`.,"req:TimelineRequest=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'name': 'Amit', 'dateOfBirth': '1951-08-04', 'timeOfBirth': '16:00:00', 'placeOfBirth': 'Dewas, India', 'timeZone': 'Asia/Kolkata', 'latitude': 22.72, 'longitude': 75.8, 'lang_code': 'en', 'timePeriod': '6M', 'reportStartDate': '2025-11-01', 'cursor': None}}}) (optional)","return: TimelineOut; side_effects: filesystem, logging",none,Body; TimelineOut; compute_report_ai_summary; compute_timeline; hasattr; item.dict; item.model_dump; json.dumps; print; router.post,"filesystem, logging",non-idempotent,false,risky,not found,Risk: broad exception catch
api_router:daily_weekly,function,API,api_router.py,292,326,Implements `daily_weekly`.,"req:TimelineRequest=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'name': 'Amit', 'dateOfBirth': '1951-08-04', 'timeOfBirth': '16:00:00', 'placeOfBirth': 'Dewas, India', 'timeZone': 'Asia/Kolkata', 'latitude': 22.72, 'longitude': 75.8, 'lang_code': 'en', 'timePeriod': '1D', 'reportStartDate': '2025-11-01', 'cursor': None}}}) (optional)","return: DailyWeeklyOut; side_effects: filesystem, logging",none,Body; DailyWeeklyData; DailyWeeklyOut; _ensure_dict_from_ai_summary; compute_daily_weekly_ai_summary; dailyWeeklyTimeline; json.dumps; print; router.post,"filesystem, logging",non-idempotent,false,risky,not found,Risk: broad exception catch
api_router:upcoming_events,function,API,api_router.py,330,380,Implements `upcoming_events`.,"payload:LifeEventPayload=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'name': 'Amit', 'dateOfBirth': '1991-07-14', 'timeOfBirth': '22:35:00', 'placeOfBirth': 'Mumbai, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 19.076, 'longitude': 72.8777, 'lang_code': 'en', 'start_date': '2025-11-01', 'horizon_days': 180}}}) (optional)",return: UpcomingEventsCalendarOut; side_effects: logging,"HTTPException(status_code=400, detail='start_date must be in YYYY-MM-DD format')",Body; HTTPException; UpcomingCalendarDay; UpcomingCalendarDay.model_validate; UpcomingEventsCalendarOut; compute_life_events; dt.date.fromisoformat; dt.date.today; dt.timedelta; hasattr; print; router.post; today.replace; upcoming_event,logging,idempotent,false,stable,not found,
