aspect_code,spend_implication
VEN CON JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN TRI JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN SEX JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN SQR JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN OPP JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN CON SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN TRI SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN SEX SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN SQR SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN OPP SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN CON NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN TRI NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN SEX NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN SQR NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN OPP NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN CON URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN TRI URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN SEX URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN SQR URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN OPP URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN CON PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
VEN TRI PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
VEN SEX PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
VEN SQR PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
VEN OPP PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
JUP CON SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
JUP TRI SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
JUP SEX SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
JUP SQR SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
JUP OPP SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
MOO CON VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MOO TRI VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MOO SEX VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MOO SQR VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MOO OPP VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MER CON SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MER TRI SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MER SEX SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MER SQR SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MER OPP SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MAR CON JUP,Action + expansion. Supportive aspects: decisive buying when planned; hard aspects: risk-taking and impulsive big spends.
MAR TRI JUP,Action + expansion. Supportive aspects: decisive buying when planned; hard aspects: risk-taking and impulsive big spends.
MAR SEX JUP,Action + expansion. Supportive aspects: decisive buying when planned; hard aspects: risk-taking and impulsive big spends.
MAR SQR JUP,Action + expansion. Supportive aspects: decisive buying when planned; hard aspects: risk-taking and impulsive big spends.
