aspect_code,day_scoring_implication
VEN CON VEN,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN TRI VEN,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN SEX VEN,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN SQR VEN,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN OPP VEN,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN CON JUP,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN TRI JUP,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN SEX JUP,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN SQR JUP,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN OPP JUP,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN CON SAT,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN TRI SAT,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN SEX SAT,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN SQR SAT,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN OPP SAT,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN CON R2,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN TRI R2,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN SEX R2,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN SQR R2,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
VEN OPP R2,"Primary shopping signal. Supportive aspects: pleasant, well-timed purchases; hard aspects: indulgence or poor value—add budget checks."
JUP CON VEN,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
JUP TRI VEN,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
JUP SEX VEN,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
JUP SQR VEN,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
JUP OPP VEN,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
JUP CON R2,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
JUP TRI R2,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
JUP SEX R2,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
JUP SQR R2,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
JUP OPP R2,Big-ticket favorability. Supportive aspects: good deals/optimism; hard aspects: overestimation and overspending—cap budget.
SAT CON VEN,Quality/long-term purchases favored. Supportive aspects: disciplined buying; hard aspects: delays/constraints—avoid rush decisions.
SAT TRI VEN,Quality/long-term purchases favored. Supportive aspects: disciplined buying; hard aspects: delays/constraints—avoid rush decisions.
SAT SEX VEN,Quality/long-term purchases favored. Supportive aspects: disciplined buying; hard aspects: delays/constraints—avoid rush decisions.
SAT SQR VEN,Quality/long-term purchases favored. Supportive aspects: disciplined buying; hard aspects: delays/constraints—avoid rush decisions.
SAT OPP VEN,Quality/long-term purchases favored. Supportive aspects: disciplined buying; hard aspects: delays/constraints—avoid rush decisions.
SAT CON R2,Quality/long-term purchases favored. Supportive aspects: disciplined buying; hard aspects: delays/constraints—avoid rush decisions.
SAT TRI R2,Quality/long-term purchases favored. Supportive aspects: disciplined buying; hard aspects: delays/constraints—avoid rush decisions.
SAT SEX R2,Quality/long-term purchases favored. Supportive aspects: disciplined buying; hard aspects: delays/constraints—avoid rush decisions.
